https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=563&discid=369 - פוגי בפיתה,כוורת
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=563&discid=368 - סיפורי פוגי,כוורת
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=565&discid=1271 - שורות של אנשים,כנסיית השכל
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=565&discid=229 - ידיים למעלה,כנסיית השכל
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=565&discid=230 - רוץ ילד,כנסיית השכל
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=5821&discid=782 - שבוע ימים על הפצע,כפיר שתיוי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=594&discid=1437 - אם תרצי,ליאור נרקיס
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=594&discid=1104 - הופעה חיה בהיכל התרבות,ליאור נרקיס
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=594&discid=1222 - ערב טוב,ליאור נרקיס
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=10515&discid=694 - כיסים,לי בירן
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=575&discid=1287 - כל השירים - אוסף,לאה שבת
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=4226&discid=1502 - סימנים על החול,מירי מסיקה
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=4226&discid=1401 - מלך,מירי מסיקה
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=4226&discid=1053 - חדשות טובות,מירי מסיקה
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=3787&discid=1379 - זיקוקים,משה פרץ
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=3787&discid=1059 - אש: ההופעה בהיכל התרבות,משה פרץ
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=1229&discid=1412 - העשור הראשון - האוסף,מוש בן ארי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=1229&discid=1354 - תסתכל לי בעיניים,מוש בן ארי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=1229&discid=739 - אנשום,מוש בן ארי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=623&discid=1275 - בשבילי,מושיק עפיה
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=623&discid=776 - מבט שנוגע,מושיק עפיה
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=3153&discid=90 - שוברת שתיקה,מאיה בוסקילה
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=3153&discid=330 - ימים של אהבה,מאיה בוסקילה
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=3153&discid=91 - סיפור מכור,מאיה בוסקילה
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=686&discid=1117 - יהלומים בשמיים,משינה
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=686&discid=1288 - עסקי הרוקנ'רול - אוסף כפול,משינה
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=686&discid=260 - רומנטיקה עתידנית,משינה
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=605&discid=623 - ברנרד ולואיז,מאיר אריאל
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=605&discid=622 - רישומי פחם,מאיר אריאל
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=605&discid=621 - זרעי קיץ,מאיר אריאל
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=688&discid=1107 - נפש תאומה,מתי כספי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=688&discid=863 - את האשה שלי,מתי כספי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=688&discid=862 - עולם אחר,מתי כספי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=606&discid=266 - שמע קולי,מאיר בנאי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=606&discid=267 - אקוסטי,מאיר בנאי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=606&discid=268 - לב סדוק,מאיר בנאי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=620&discid=238 - באמת ומקרוב ,מוקי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=620&discid=239 - עוקף מלמעלה,מוקי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=620&discid=240 - שמע ישראל,מוקי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=639&discid=92 - אשתו של,מיכל אמדורסקי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=639&discid=93 - EP,מיכל אמדורסקי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=639&discid=94 - נוצצים,מיכל אמדורסקי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=666&discid=699 - דווקא היום,מרגלית צנעני
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=666&discid=464 - אל תישברי,מרגלית צנעני
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=666&discid=463 - גלה לי,מרגלית צנעני
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=3775&discid=1353 - זהות,מרסדס בנד
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=602&discid=1473 - החופש הגדול,מאור כהן
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=602&discid=247 - דיסקגרפי,מאור כהן
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=602&discid=245 - פרחי הרע,מאור כהן
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=617&discid=1318 - מנגינה,מוניקה סקס
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=618&discid=1388 - בן חורג,מופע הארנבות של ד''ר קספר
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=618&discid=255 - סוף לא טוב,מופע הארנבות של ד''ר קספר
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=618&discid=257 - בהופעה חיה,מופע הארנבות של ד''ר קספר
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=644&discid=1445 - קול דודי,מיקה קרני
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=4185&discid=1459 - השלישי,מטרופולין
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=9535&discid=817 - מתעורר,מיכאל גריילסאמר
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=8123&discid=1098 - בן של מלך,מידד טסה
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=8123&discid=1097 - בשמחות שלך,מידד טסה
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=8123&discid=1096 - על נהרות בבל,מידד טסה
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=637&discid=1321 - מיכה שטרית,מיכה שטרית
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=637&discid=465 - שלהי קיץ,מיכה שטרית
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=637&discid=467 - סנטיאגו דה קובה,מיכה שטרית
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=2666&discid=828 - קומוניקטיבי,נינט טייב
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=2666&discid=269 - יחפה,נינט טייב
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=738&discid=482 - נעמי שמר שרה נעמי שמר,נעמי שמר
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=738&discid=483 - על הדבש ועל העוקץ,נעמי שמר
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=738&discid=485 - כיצד שוברים חמסין,נעמי שמר
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=713&discid=1001 - ואז בא לנו,נורית גלרון
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=742&discid=1139 - אדמה חרוכה,נתי לוי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=742&discid=1138 - שלום נערתי,נתי לוי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=3123&discid=1324 - חתום באש,סינרגיה
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=3123&discid=270 - השתקפות,סינרגיה
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=3123&discid=271 - מרגיש אחר,סינרגיה
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=1118&discid=1339 - Jewniversal,סאבלימינל
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=1118&discid=273 - בדיוק כשחשבתם שהכל נגמר,סאבלימינל
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=754&discid=1180 - בניינים נמסים,סיון שביט
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=4860&discid=1472 - רקוב,סדרני הדשא
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=764&discid=95 - בקצב אחיד בתנועות של הגוף,עברי לידר
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=764&discid=96 - זה לא אותו דבר,עברי לידר
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=764&discid=97 - האנשים החדשים,עברי לידר
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=4858&discid=1334 - כן לאהבה,עידן יניב
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=4858&discid=1383 - מי אם לא עידן יניב,עידן יניב
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=820&discid=435 - כל הנשמה,עופרה חזה
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=820&discid=1056 - ימים נשברים,עופרה חזה
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=820&discid=434 - אדמה,עופרה חזה
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=802&discid=1253 - לדעת הכל,עמיר בניון
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=802&discid=695 - שעה של אור,עמיר בניון
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=802&discid=98 - עומד בשער,עמיר בניון
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=778&discid=477 - עכשיו התור לאהבה - חלק א',עוזי חיטמן
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=778&discid=480 - עכשיו התור לאהבה - חלק ב',עוזי חיטמן
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=778&discid=481 - השירים היפים,עוזי חיטמן
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=1428&discid=174 - בין קירות ביתי,עידן רייכל
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=1428&discid=176 - הפרויקט של עידן רייכל,עידן רייכל
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=783&discid=1276 - בדרך שבחרתי,עופר לוי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=783&discid=1277 - מצייר אותך,עופר לוי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=783&discid=1285 - שמע בני מוסר אביך,עופר לוי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=10339&discid=1493 - לחם אהבה,עלמה זהר
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=10339&discid=1225 - שלושים ושלוש,עלמה זהר
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=10339&discid=276 - דברי,עלמה זהר
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=823&discid=1083 - כל מה שאנושי,ערן צור
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=823&discid=945 - חותך בחתך הזהב,ערן צור
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=823&discid=946 - תכלית בתחתית,ערן צור
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=8853&discid=1387 - כל פעם קצת,עידן חביב
